Entity,Code,Year,Status of net-zero target
Bahrain,BHR,2060,Pledge
Bhutan,BTN,2000,Achieved
Cambodia,KHM,2000,Achieved
China,CHN,2060,In policy document
India,IND,2070,In policy document
Israel,ISR,2050,Pledge
Japan,JPN,2050,In law
Kazakhstan,KAZ,2050,Pledge
Malaysia,MYS,2050,Pledge
Maldives,MDV,2030,In policy document
Nepal,NPL,2050,In policy document
Saudi Arabia,SAU,2060,Pledge
Singapore,SGP,2021,In policy document
South Korea,KOR,2050,In law
Sri Lanka,LKA,2060,In policy document
Thailand,THA,2050,Pledge
United Arab Emirates,ARE,2050,Pledge
Vietnam,VNM,2050,Pledge
Austria,AUT,2040,In policy document
Benin,BEN,2000,Achieved
Croatia,HRV,2050,In policy document
Denmark,DNK,2050,In law
Estonia,EST,2050,Pledge
Finland,FIN,2035,In policy document
France,FRA,2050,In law
Germany,DEU,2045,In law
Greece,GRC,2050,In policy document
Hungary,HUN,2050,In law
Iceland,ISL,2040,In policy document
Ireland,IRL,2050,In law
Italy,ITA,2050,In policy document
Latvia,LVA,2050,In policy document
Lithuania,LTU,2050,In policy document
Luxembourg,LUX,2050,In policy document
Malta,MLT,2050,In policy document
Monaco,MCO,2050,In policy document
Romania,ROU,2050,In law
Slovenia,SVN,2050,In policy document
Sweden,SWE,2045,In law
Ukraine,UKR,2060,In policy document
United Kingdom,GBR,2050,In law
Turkey,TUR,2053,In policy document
Portugal,PRT,2050,In policy document
Russia,RUS,2060,Pledge
Spain,ESP,2050,In law
Nigeria,NGA,2030,Pledge
Guinea-Bissau,GNB,2030,Achieved
Liberia,LBR,2000,Achieved
Madagascar,MDG,2010,Achieved
South Africa,ZAF,2050,Pledge
Australia,AUS,2050,Pledge
Fiji,FJI,2050,In policy document
Marshall Islands,MHL,2050,In policy document
New Zealand,NZL,2050,In law
Antigua and Barbuda,ATG,2040,In policy document
Barbados,BRB,2030,In policy document
Belize,BLZ,2050,In policy document
Canada,CAN,2050,In law
Costa Rica,CRI,2050,In policy document
United States,USA,2050,Pledge
Panama,PAN,2050,In policy document
Brazil,BRA,2060,In policy document
Chile,CHL,2050,In policy document
Ecuador,ECU,2050,In policy document
Guyana,GUY,2019,Achieved
Uruguay,URY,2050,In policy document
